Data; Wartość kWh;Rodzaj;
2024-05-01 1:00;0,055;pobór;
2024-05-01 2:00;0,044;pobór;
2024-05-01 3:00;0,060;pobór;
2024-05-01 4:00;0,049;pobór;
2024-05-01 5:00;0,040;pobór;
2024-05-01 6:00;0,056;pobór;
2024-05-01 7:00;0,047;pobór;
2024-05-01 8:00;0,334;pobór;
2024-05-01 9:00;0,697;pobór;
2024-05-01 10:00;0,491;pobór;
2024-05-01 11:00;0,342;pobór;
2024-05-01 12:00;0,100;pobór;
2024-05-01 13:00;0,388;pobór;
2024-05-01 14:00;0,773;pobór;
2024-05-01 15:00;0,080;pobór;
2024-05-01 16:00;0,143;pobór;
2024-05-01 17:00;0,118;pobór;
2024-05-01 18:00;0,077;pobór;
2024-05-01 19:00;0,067;pobór;
2024-05-01 20:00;0,343;pobór;
2024-05-01 21:00;0,808;pobór;
2024-05-01 22:00;0,108;pobór;
2024-05-01 23:00;0,055;pobór;
2024-05-01 24:00;0,072;pobór;
2024-05-02 1:00;0,046;pobór;
2024-05-02 2:00;0,051;pobór;
2024-05-02 3:00;0,056;pobór;
2024-05-02 4:00;0,084;pobór;
2024-05-02 5:00;0,061;pobór;
2024-05-02 6:00;0,045;pobór;
2024-05-02 7:00;0,173;pobór;
2024-05-02 8:00;0,742;pobór;
2024-05-02 9:00;1,752;pobór;
2024-05-02 10:00;0,413;pobór;
2024-05-02 11:00;0,200;pobór;
2024-05-02 12:00;0,116;pobór;
2024-05-02 13:00;0,587;pobór;
2024-05-02 14:00;0,231;pobór;
2024-05-02 15:00;0,971;pobór;
2024-05-02 16:00;0,157;pobór;
2024-05-02 17:00;0,051;pobór;
2024-05-02 18:00;0,428;pobór;
2024-05-02 19:00;1,182;pobór;
2024-05-02 20:00;0,140;pobór;
2024-05-02 21:00;0,257;pobór;
2024-05-02 22:00;0,237;pobór;
2024-05-02 23:00;0,092;pobór;
2024-05-02 24:00;0,057;pobór;
2024-05-03 1:00;0,045;pobór;
2024-05-03 2:00;0,057;pobór;
2024-05-03 3:00;0,053;pobór;
2024-05-03 4:00;0,043;pobór;
2024-05-03 5:00;0,042;pobór;
2024-05-03 6:00;0,055;pobór;
2024-05-03 7:00;0,049;pobór;
2024-05-03 8:00;0,298;pobór;
2024-05-03 9:00;1,292;pobór;
2024-05-03 10:00;0,905;pobór;
2024-05-03 11:00;1,061;pobór;
2024-05-03 12:00;0,502;pobór;
2024-05-03 13:00;0,394;pobór;
